,D3,D2,D1,clusters
102,16.055544,-88.03749,-4.042756,1
103,3.257149,79.47455,-86.69924,1
104,-47.543316,-62.97784,-164.65056,0
105,-105.65223,-77.92093,17.105667,2
106,-129.05533,-44.478664,89.076256,2
107,118.7987,137.18578,10.109484,0
108,-74.83982,-104.8073,-10.818708,3
109,-39.8668,145.2345,28.168968,0
110,-27.309359,-73.885544,-90.27398,2
111,27.706543,-71.237564,-105.90533,1
112,-9.602285,44.855137,15.974523,0
113,-55.982975,-36.941265,-74.93006,3
114,-117.351555,-16.850908,-57.124485,0
115,11.844805,119.64749,50.25417,2
116,-102.42528,-90.11366,133.00127,0
117,50.88262,-66.76624,119.06826,1
118,-21.668423,125.01126,144.91374,3
119,79.53997,99.64597,23.580355,3
120,178.518,-15.065562,-36.356182,1
121,4.4831285,28.290497,107.839005,1
122,125.85471,21.107811,21.797592,2
123,-130.34024,-1.9189874,40.795853,0
124,46.507404,6.4575486,-129.23096,2
125,6.870075,42.50672,-123.65213,2
126,-35.12425,42.664516,117.207016,1
127,-96.75348,54.224094,44.715153,1
128,-88.83992,-2.591797,-48.45914,3
129,-29.7668,-128.93541,-99.841286,1
130,24.857885,127.00324,98.72044,1
131,7.631452,151.78983,15.122581,2
132,-37.55299,84.97775,-56.785957,1
133,-138.27818,-96.65302,-77.47098,0
134,-57.334118,-0.13341394,121.63512,2
135,12.783791,-144.51427,19.53613,2
136,115.308426,128.18306,68.914696,3
137,-62.617283,-125.72264,35.57919,0
138,-112.16414,-67.83089,-29.209316,1
139,-130.47475,48.647083,-63.696426,1
140,-147.00388,-106.15117,-2.2525823,0
141,84.99221,-6.055551,-165.34431,3
142,85.46736,59.93153,-58.741398,0
143,-14.720631,96.424995,103.62072,1
144,139.97873,-83.48592,70.39972,2
145,9.448181,173.59108,-60.04721,3
146,-162.78381,-8.00555,-9.122456,1
147,22.23428,-45.765118,67.67507,0
148,103.867744,-85.753494,122.555435,3
149,-73.39184,-115.615005,-73.64955,1
150,52.515896,185.94028,7.3668017,2
151,113.703476,-37.469223,-23.061934,3
152,-170.92319,-4.485597,74.94239,0
153,-19.700844,-76.32627,66.28489,2
154,-28.781275,-6.649941,9.876853,2
155,59.484776,-142.94333,42.1308,2
156,-53.3731,-20.867218,176.8215,1
157,71.587776,82.62549,133.82414,0
158,26.690615,74.1571,50.839832,2
159,52.988056,136.55162,-62.17578,0
160,-76.96854,28.035841,-82.64038,0
161,-105.356735,-36.868248,27.087934,1
162,156.75107,-15.168224,-110.414154,1
163,-143.7558,42.87733,30.111126,1
164,61.247047,-92.42923,76.14035,3
165,100.63457,0.11571477,63.426064,2
166,0.8879366,-6.782445,-148.7894,1
167,-120.30385,97.17879,34.946968,1
168,-91.094154,48.58306,-39.269905,0
169,62.56068,142.77245,48.796722,2
170,-28.763477,-33.984257,61.35855,2
171,-58.089844,79.48199,66.10539,2
172,-72.99169,-44.131523,-6.4454627,3
173,35.749996,-41.209946,-16.522009,2
174,50.292225,-66.00649,23.626451,2
175,-98.4106,-127.11415,-27.20671,3
176,8.34057,-11.340353,-20.333456,2
177,168.16637,-21.672714,34.27243,3
178,43.824753,-30.287928,-104.65988,2
179,157.66151,35.16467,79.64178,3
180,63.804413,58.26586,63.70761,0
181,88.17501,36.021717,-13.835933,1
182,47.686306,42.406513,17.412169,3
183,53.996696,9.524897,51.465137,2
184,118.58211,78.071785,-43.93634,1
185,-41.718174,-4.0535665,-99.24275,2
186,-170.29166,-52.231297,39.78353,0
187,-76.330414,-151.15672,83.814445,0
188,-1.3209354,-46.71136,17.463324,1
189,-76.97899,-22.483347,-125.64699,0
190,-40.728275,141.88673,81.75784,0
191,65.47409,-102.60415,-78.09539,1
192,91.77341,-54.691036,58.15765,3
193,-142.28929,26.341103,115.056076,0
194,-46.05914,-152.003,-20.560276,1
195,16.52005,-127.83603,-131.04837,0
196,66.27811,73.82903,-16.464624,1
197,54.601665,26.165062,159.64015,0
198,185.6162,35.68539,4.1272388,0
199,-42.435017,-27.86237,-32.403587,1
200,17.25338,78.173676,156.32553,0
201,-84.87168,127.86587,27.671616,0
202,12.914166,-197.08525,41.218433,2
203,70.54679,-10.528215,-39.246212,0
204,33.646107,41.633427,-51.647457,3
205,-114.67778,36.359554,-3.4415207,3
206,-48.082054,129.10046,-118.44092,1
207,-134.7108,69.134026,-115.89158,1
208,118.75813,2.5035057,161.0559,1
209,160.39987,86.5014,27.312016,0
210,51.240982,26.941721,116.07275,0
211,-19.685,95.97645,-138.85022,0
212,-2.6647258,-171.93944,-57.817043,0
213,-34.624943,-116.66879,123.61532,2
214,-57.302402,106.48185,-12.971069,2
215,90.55808,169.18608,-34.531834,0
216,260.53696,243.5061,-46.80776,2
217,63.025543,-157.99681,-38.180557,1
218,-89.78275,96.74226,-142.12952,0
219,24.324354,-91.173874,161.13998,2
220,89.071846,27.884098,141.12431,0
221,110.31658,72.447014,69.333916,3
